Profiling of hundred theorems:
proof-register-possibly-new-processed-file                      2           1.147767      0.5738835
proof-deactivate-scripting                                      1           1.146929      1.146929
proof-shell-invisible-command                                   2           1.144748      0.572374
proof-cd-sync                                                   1           1.014265      1.014265
scomint-send-input                                              2008        1.0111659999  0.0005035687
proof-toolbar-next-enable-p                                     7434        0.6904569999  9.287...e-05
proof-done-advancing-save                                       1000        0.6694850000  0.0006694850
proof-locked-region-full-p                                      7437        0.6680110000  8.982...e-05
isar-preprocessing                                              2008        0.5888010000  0.0002932275
scomint-send-string                                             2008        0.5238210000  0.0002608670
isar-command-wrapping                                           2008        0.4266709999  0.0002124855
isar-positions-of                                               2008        0.2837250000  0.0001412973
proof-make-goalsave                                             1000        0.2802490000  0.0002802490
pg-set-span-helphighlights                                      3004        0.2778229999  9.248...e-05
pg-remove-specials                                              2008        0.2700440000  0.0001344840
proof-toolbar-use-enable-p                                      3717        0.2482730000  6.679...e-05
proof-shell-available-p                                         26019       0.1759880000  6.763...e-06
proof-re-search-forward                                         2064        0.1741260000  8.436...e-05
pg-add-proof-element                                            1000        0.1635090000  0.0001635090
proof-string-match                                              15032       0.1542850000  1.026...e-05
proof-done-advancing-other                                      1004        0.1512260000  0.0001506235
isar-string-wrapping                                            4015        0.1382279999  3.442...e-05
proof-get-name-from-goal                                        1000        0.1235100000  0.0001235100
proof-replace-regexp-in-string                                  4015        0.1221689999  3.042...e-05
isar-global-save-command-p                                      1000        0.1135740000  0.0001135740
proof-string-match-safe                                         2004        0.1066289999  5.320...e-05
proof-toolbar-command-enable-p                                  3717        0.0918040000  2.469...e-05
proof-set-overlay-arrow                                         2004        0.0877379999  4.378...e-05
pg-add-to-input-history                                         1004        0.0811079999  8.078...e-05
pg-last-output-displayform                                      3004        0.0799419999  2.661...e-05
pg-add-element                                                  1000        0.0758799999  7.587...e-05
proof-shell-process-urgent-messages                             2009        0.0691360000  3.441...e-05
proof-shell-strip-output-markup                                 3006        0.0621240000  2.066...e-05
isar-strip-output-markup                                        3008        0.0508979999  1.692...e-05
isar-shell-adjust-line-width                                    2008        0.0436570000  2.174...e-05
proof-shell-classify-output                                     2008        0.0423230000  2.107...e-05
proof-toolbar-state-enable-p                                    3717        0.0384680000  1.034...e-05
scomint-check-proc                                              28033       0.0319450000  1.139...e-06
proof-toolbar-retract-enable-p                                  3717        0.0305389999  8.216...e-06
isar-goal-command-p                                             2004        0.026745      1.334...e-05
proof-cmdstart-add-segment-for-cmd                              2004        0.0246840000  1.231...e-05
proof-toolbar-delete-enable-p                                   3717        0.0242569999  6.525...e-06
proof-toolbar-undo-enable-p                                     3717        0.0241040000  6.484...e-06
proof-toolbar-context-enable-p                                  3717        0.0233320000  6.277...e-06
proof-toolbar-find-enable-p                                     3717        0.0226730000  6.099...e-06
proof-toolbar-info-enable-p                                     3717        0.0210330000  5.658...e-06
proof-locked-region-empty-p                                     3722        0.0176580000  4.744...e-06
proof-looking-at-safe                                           4012        0.0171930000  4.285...e-06
proof-next-element-id                                           1000        0.0129890000  1.298...e-05
pg-span-name                                                    3004        0.0127430000  4.242...e-06
proof-shell-live-buffer                                         2008        0.0114760000  5.715...e-06
proof-unprocessed-begin                                         11480       0.0112319999  9.783...e-07
proof-looking-at                                                4012        0.0082560000  2.057...e-06
proof-splice-separator                                          2008        0.0070060000  3.489...e-06
pg-processing-complete-hint                                     3           0.0058870000  0.0019623333
proof-element-id                                                1000        0.0039640000  3.964...e-06
proof-next-element-count                                        1000        0.0028809999  2.880...e-06
proof-toolbar-goto-enable-p                                     3717        0.0027980000  7.527...e-07
proof-semis-to-vanillas                                         1           0.002604      0.002604
proof-toolbar-interrupt-enable-p                                3717        0.0022529999  6.061...e-07
proof-shell-process-urgent-message                              3           0.001543      0.0005143333
proof-debug                                                     1003        0.0012860000  1.282...e-06
proof-append-alist                                              3           0.000957      0.000319
isar-match-nesting                                              51          0.000897      1.758...e-05
proof-start-queue                                               2           0.000614      0.000307
proof-unregister-buffer-file-name                               1           0.000609      0.000609
proof-cd                                                        1           0.000429      0.000429
proof-extend-queue                                              1           0.00036       0.00036
proof-shell-message                                             2           0.000257      0.0001285
pg-response-display-with-face                                   5           0.0001839999  3.679...e-05
proof-format-filename                                           2           0.000173      8.65e-05
pg-response-maybe-erase                                         5           0.000124      2.48e-05
proof-shell-handle-delayed-output                               3           0.000117      3.9e-05
pg-response-display                                             3           9.5e-05       3.166...e-05
pg-hint                                                         1           7.1e-05       7.1e-05
proof-format                                                    10          6.1e-05       6.1e-06
proof-shell-ready-prover                                        6           5.899...e-05  9.833...e-06
proof-shell-start                                               6           3.8e-05       6.333...e-06
proof-grab-lock                                                 3           3.5e-05       1.166...e-05
proof-re-search-backward                                        1           3.3e-05       3.3e-05
proof-init-segmentation                                         1           2.4e-05       2.4e-05
proof-shell-strip-eager-annotations                             2           1.5e-05       7.5e-06
proof-complete-buffer-atomic                                    1           1.4e-05       1.4e-05
proof-maybe-follow-locked-end                                   1           1.1e-05       1.1e-05
proof-shell-action-list-item                                    4           1.099...e-05  2.749...e-06
proof-queue-or-locked-end                                       4           8e-06         2e-06
proof-script-end                                                1           7e-06         7e-06
proof-shell-stop-silent-item                                    1           6e-06         6e-06
proof-shell-should-be-silent                                    3           6e-06         2e-06
proof-shell-start-silent-item                                   1           6e-06         6e-06
proof-span-read-only                                            2           4e-06         2e-06
proof-display-and-keep-buffer                                   3           4e-06         1.333...e-06
proof-pbp-focus-on-first-goal                                   3           3e-06         1e-06
proof-release-lock                                              3           3e-06         1e-06
pg-finish-tracing-display                                       3           3e-06         1e-06
proof-done-invisible                                            2           2e-06         1e-06
proof-script-next-command-advance                               1           2e-06         2e-06
pg-clear-script-portions                                        1           2e-06         2e-06
proof-shell-set-silent                                          1           1e-06         1e-06
proof-shell-clear-silent                                        1           1e-06         1e-06
pg-clear-input-ring                                             1           1e-06         1e-06


------------------------------------------------------------------

Removing text properties on o/p:

proof-shell-filter                                              205         0.3153689999  0.0015383853
proof-shell-filter-manage-output                                205         0.285285      0.0013916341
proof-shell-exec-loop                                           205         0.2812860000  0.0013721268
proof-shell-insert                                              205         0.2100919999  0.0010248390
isar-preprocessing                                              205         0.1048260000  0.0005113463
isar-command-wrapping                                           205         0.0952059999  0.0004644195
scomint-send-input                                              205         0.0898139999  0.0004381170
scomint-send-string                                             205         0.0825070000  0.0004024731
isar-string-wrapping                                            410         0.0802999999  0.0001958536
proof-toolbar-find-enable-p                                     434         0.0763130000  0.0001758364
proof-done-advancing                                            203         0.0650530000  0.0003204581
proof-done-advancing-save                                       100         0.0329679999  0.0003296799
proof-toolbar-next-enable-p                                     868         0.0198050000  2.281...e-05
proof-string-match                                              1521        0.0180250000  1.185...e-05
proof-make-goalsave                                             100         0.0177230000  0.0001772300
proof-locked-region-full-p                                      868         0.0173869999  2.003...e-05
pg-remove-specials                                              205         0.0171139999  8.348...e-05
pg-set-span-helphighlights                                      303         0.0167299999  5.521...e-05
isar-positions-of                                               205         0.0142010000  6.927...e-05
proof-shell-available-p                                         3038        0.0122500000  4.032...e-06
pg-add-proof-element                                            100         0.0092029999  9.202...e-05
proof-toolbar-use-enable-p                                      434         0.0086329999  1.989...e-05
pg-last-output-displayform                                      303         0.0080759999  2.665...e-05
proof-done-advancing-other                                      103         0.0071600000  6.951...e-05
proof-get-name-from-goal                                        100         0.0066700000  6.670...e-05
proof-shell-strip-output-markup                                 303         0.0060650000  2.001...e-05
proof-shell-process-urgent-messages                             205         0.0056970000  2.779...e-05
proof-replace-regexp-in-string                                  410         0.0050399999  1.229...e-05
isar-strip-output-markup                                        304         0.0049529999  1.629...e-05
proof-set-overlay-arrow                                         203         0.0047199999  2.325...e-05
proof-toolbar-state-enable-p                                    434         0.0045079999  1.038...e-05
isar-shell-adjust-line-width                                    205         0.0044740000  2.182...e-05
isar-global-save-command-p                                      100         0.0044660000  4.466...e-05
proof-string-match-safe                                         203         0.004411      2.172...e-05
scomint-check-proc                                              3245        0.0036840000  1.135...e-06
proof-toolbar-retract-enable-p                                  434         0.0035050000  8.076...e-06
isar-goal-command-p                                             203         0.0029189999  1.437...e-05
proof-toolbar-undo-enable-p                                     434         0.0027759999  6.396...e-06
proof-toolbar-delete-enable-p                                   434         0.0027319999  6.294...e-06
proof-toolbar-context-enable-p                                  434         0.0025609999  5.900...e-06
pg-processing-complete-hint                                     1           0.002415      0.002415
proof-toolbar-info-enable-p                                     434         0.0023879999  5.502...e-06
proof-toolbar-command-enable-p                                  434         0.0023849999  5.495...e-06
proof-shell-classify-output                                     205         0.0023099999  1.126...e-05
proof-locked-region-empty-p                                     434         0.0020360000  4.691...e-06
pg-add-element                                                  100         0.0016829999  1.682...e-05
pg-span-name                                                    303         0.0012490000  4.122...e-06
proof-next-element-id                                           100         0.0012420000  1.242...e-05
proof-unprocessed-begin                                         1311        0.0012220000  9.321...e-07
pg-add-to-input-history                                         103         0.0011820000  1.147...e-05
proof-shell-live-buffer                                         205         0.0011550000  5.634...e-06
proof-process-buffer                                            1           0.001021      0.001021
proof-assert-until-point-interactive                            1           0.000982      0.000982
proof-assert-until-point                                        1           0.000978      0.000978
proof-assert-semis                                              1           0.000821      0.000821
proof-shell-process-urgent-message                              1           0.000807      0.000807
proof-splice-separator                                          205         0.0007269999  3.546...e-06
proof-shell-message                                             1           0.000621      0.000621
proof-extend-queue                                              1           0.000458      0.000458
proof-append-alist                                              1           0.000449      0.000449
proof-element-id                                                100         0.0003609999  3.609...e-06
proof-semis-to-vanillas                                         1           0.000335      0.000335
proof-toolbar-goto-enable-p                                     434         0.0003060000  7.050...e-07
proof-next-element-count                                        100         0.0002759999  2.759...e-06
proof-toolbar-interrupt-enable-p                                434         0.0002509999  5.783...e-07
proof-debug                                                     100         0.0001249999  1.249...e-06
pg-response-display-with-face                                   2           0.0001089999  5.449...e-05
proof-segment-up-to-using-cache                                 1           9.7e-05       9.7e-05
proof-segment-cache-contents-for                                1           8.5e-05       8.5e-05
proof-re-search-backward                                        1           4.3e-05       4.3e-05
proof-shell-handle-delayed-output                               1           2.1e-05       2.1e-05
proof-shell-ready-prover                                        2           1.999...e-05  9.999...e-06
proof-activate-scripting                                        1           1.8e-05       1.8e-05
pg-response-maybe-erase                                         2           1.7e-05       8.5e-06
pg-response-display                                             1           1.4e-05       1.4e-05
proof-shell-start                                               2           1.2e-05       6e-06
proof-shell-strip-eager-annotations                             1           1.2e-05       1.2e-05
proof-grab-lock                                                 1           1.1e-05       1.1e-05
proof-maybe-follow-locked-end                                   1           9e-06         9e-06
proof-shell-stop-silent-item                                    1           6e-06         6e-06
proof-shell-start-silent-item                                   1           6e-06         6e-06
proof-shell-action-list-item                                    2           4.999...e-06  2.499...e-06
proof-queue-or-locked-end                                       4           3e-06         7.5e-07
proof-shell-should-be-silent                                    1           2e-06         2e-06
proof-script-next-command-advance                               1           2e-06         2e-06
proof-display-and-keep-buffer                                   1           2e-06         2e-06
proof-shell-set-silent                                          1           1e-06         1e-06
proof-shell-clear-silent                                        1           1e-06         1e-06
proof-release-lock                                              1           1e-06         1e-06
pg-finish-tracing-display                                       1           1e-06         1e-06
proof-pbp-focus-on-first-goal                                   1           0.0           0.0


------------------------------------------------------------------

Removing text properties on i/p:


proof-shell-filter                                              205         0.2767050000  0.0013497804
proof-shell-filter-manage-output                                205         0.2491030000  0.0012151365
proof-shell-exec-loop                                           205         0.2451139999  0.0011956780
proof-shell-insert                                              205         0.1729689999  0.0008437512
isar-preprocessing                                              205         0.1062019999  0.0005180585
isar-command-wrapping                                           205         0.0964980000  0.0004707219
isar-string-wrapping                                            410         0.0816209999  0.0001990756
proof-replace-regexp-in-string                                  410         0.0799649999  0.0001950365
proof-done-advancing                                            203         0.0659069999  0.0003246650
scomint-send-string                                             205         0.0444790000  0.0002169707
proof-done-advancing-save                                       100         0.0334109999  0.0003341099
proof-toolbar-next-enable-p                                     844         0.0199650000  2.365...e-05
proof-string-match                                              1521        0.0182100000  1.197...e-05
proof-make-goalsave                                             100         0.0179040000  0.0001790400
proof-locked-region-full-p                                      844         0.0175779999  2.082...e-05
pg-set-span-helphighlights                                      303         0.0168959999  5.576...e-05
pg-remove-specials                                              205         0.0149570000  7.296...e-05
isar-positions-of                                               205         0.0141460000  6.900...e-05
proof-shell-available-p                                         2954        0.0121580000  4.115...e-06
pg-add-proof-element                                            100         0.0092979999  9.297...e-05
proof-toolbar-use-enable-p                                      422         0.0084190000  1.995...e-05
pg-last-output-displayform                                      303         0.0081589999  2.692...e-05
proof-done-advancing-other                                      103         0.0071879999  6.978...e-05
proof-get-name-from-goal                                        100         0.0067640000  6.764...e-05
proof-shell-strip-output-markup                                 303         0.0061680000  2.035...e-05
proof-shell-process-urgent-messages                             205         0.0055640000  2.714...e-05
isar-strip-output-markup                                        304         0.0050069999  1.647...e-05
proof-set-overlay-arrow                                         203         0.0047559999  2.342...e-05
proof-toolbar-state-enable-p                                    422         0.0045959999  1.089...e-05
isar-shell-adjust-line-width                                    205         0.0045240000  2.206...e-05
isar-global-save-command-p                                      100         0.0044959999  4.495...e-05
proof-string-match-safe                                         203         0.0044810000  2.207...e-05
scomint-check-proc                                              3161        0.0035870000  1.134...e-06
proof-toolbar-retract-enable-p                                  422         0.0034850000  8.258...e-06
isar-goal-command-p                                             203         0.0029089999  1.433...e-05
proof-toolbar-context-enable-p                                  422         0.0028079999  6.654...e-06
proof-toolbar-delete-enable-p                                   422         0.0026959999  6.388...e-06
proof-toolbar-undo-enable-p                                     422         0.0026899999  6.374...e-06
proof-toolbar-find-enable-p                                     422         0.0025549999  6.054...e-06
pg-processing-complete-hint                                     1           0.002402      0.002402
proof-toolbar-info-enable-p                                     422         0.0023749999  5.627...e-06
proof-toolbar-command-enable-p                                  422         0.0023369999  5.537...e-06
proof-shell-classify-output                                     205         0.0023229999  1.133...e-05
proof-locked-region-empty-p                                     422         0.0020260000  4.800...e-06
pg-add-element                                                  100         0.0017310000  1.731...e-05
proof-next-element-id                                           100         0.001276      1.276e-05
pg-span-name                                                    303         0.0012510000  4.128...e-06
proof-unprocessed-begin                                         1275        0.0012280000  9.631...e-07
pg-add-to-input-history                                         103         0.0011990000  1.164...e-05
proof-shell-live-buffer                                         205         0.0011910000  5.809...e-06
proof-process-buffer                                            1           0.000879      0.000879
proof-assert-until-point-interactive                            1           0.00084       0.00084
proof-assert-until-point                                        1           0.000836      0.000836
proof-shell-process-urgent-message                              1           0.000797      0.000797
proof-splice-separator                                          205         0.0007339999  3.580...e-06
proof-assert-semis                                              1           0.000676      0.000676
proof-shell-message                                             1           0.00061       0.00061
proof-element-id                                                100         0.0003689999  3.689...e-06
proof-semis-to-vanillas                                         1           0.000326      0.000326
proof-extend-queue                                              1           0.000322      0.000322
proof-append-alist                                              1           0.000315      0.000315
proof-toolbar-goto-enable-p                                     422         0.0003090000  7.322...e-07
proof-next-element-count                                        100         0.0002779999  2.779...e-06
proof-toolbar-interrupt-enable-p                                422         0.0002469999  5.853...e-07
proof-debug                                                     100         0.0001319999  1.319...e-06
pg-response-display-with-face                                   2           0.000113      5.65e-05
proof-segment-up-to-using-cache                                 1           9.3e-05       9.3e-05
proof-segment-cache-contents-for                                1           8.1e-05       8.1e-05
proof-re-search-backward                                        1           4.9e-05       4.9e-05
proof-shell-handle-delayed-output                               1           2.1e-05       2.1e-05
proof-shell-ready-prover                                        2           1.999...e-05  9.999...e-06
proof-activate-scripting                                        1           1.8e-05       1.8e-05
pg-response-maybe-erase                                         2           1.7e-05       8.5e-06
proof-shell-start                                               2           1.300...e-05  6.500...e-06
pg-response-display                                             1           1.3e-05       1.3e-05
proof-grab-lock                                                 1           1.1e-05       1.1e-05
proof-shell-strip-eager-annotations                             1           1e-05         1e-05
proof-maybe-follow-locked-end                                   1           9e-06         9e-06
proof-shell-start-silent-item                                   1           6e-06         6e-06
proof-shell-stop-silent-item                                    1           5e-06         5e-06
proof-queue-or-locked-end                                       4           4e-06         1e-06
proof-shell-action-list-item                                    2           4e-06         2e-06
proof-script-next-command-advance                               1           2e-06         2e-06
proof-display-and-keep-buffer                                   1           2e-06         2e-06
proof-shell-set-silent                                          1           1e-06         1e-06
proof-shell-should-be-silent                                    1           1e-06         1e-06
proof-shell-clear-silent                                        1           1e-06         1e-06
proof-pbp-focus-on-first-goal                                   1           1e-06         1e-06
proof-release-lock                                              1           1e-06         1e-06
pg-finish-tracing-display                                       1           1e-06         1e-06


-----------------------------------------------------------------

disabling command wrapping

proof-shell-filter                                              210         0.3514800000  0.0016737142
proof-shell-filter-manage-output                                210         0.2228989999  0.0010614238
proof-shell-exec-loop                                           210         0.2188429999  0.0010421095
proof-done-advancing                                            204         0.143215      0.0007020343
pg-remove-specials                                              210         0.112124      0.0005339238
proof-done-advancing-save                                       100         0.109444      0.00109444
proof-string-match                                              1334        0.0918810000  6.887...e-05
proof-shell-available-p                                         3129        0.0881120000  2.815...e-05
proof-get-name-from-goal                                        100         0.0816939999  0.0008169399
scomint-check-proc                                              3343        0.0788330000  2.358...e-05
proof-toolbar-command-enable-p                                  447         0.0775490000  0.0001734876
proof-shell-insert                                              210         0.0685579999  0.0003264666
scomint-send-string                                             210         0.0358410000  0.0001706714
proof-toolbar-next-enable-p                                     894         0.0220169999  2.462...e-05
proof-locked-region-full-p                                      894         0.0195010000  2.181...e-05
proof-make-goalsave                                             100         0.0190809999  0.0001908099
pg-set-span-helphighlights                                      304         0.0184809999  6.079...e-05
pg-add-proof-element                                            100         0.0098279999  9.827...e-05
proof-toolbar-use-enable-p                                      447         0.0091759999  2.052...e-05
pg-last-output-displayform                                      304         0.0083169999  2.735...e-05
proof-done-advancing-other                                      104         0.0077229999  7.425...e-05
proof-set-overlay-arrow                                         205         0.0065570000  3.198...e-05
proof-shell-process-urgent-messages                             210         0.0064929999  3.091...e-05
proof-shell-strip-output-markup                                 304         0.0062850000  2.067...e-05
isar-strip-output-markup                                        306         0.0052059999  1.701...e-05
proof-toolbar-state-enable-p                                    447         0.0047669999  1.066...e-05
isar-global-save-command-p                                      100         0.0046590000  4.659...e-05
isar-shell-adjust-line-width                                    210         0.004655      2.216...e-05
proof-string-match-safe                                         204         0.0045679999  2.239...e-05
proof-toolbar-retract-enable-p                                  447         0.0036200000  8.098...e-06
isar-goal-command-p                                             205         0.0029619999  1.444...e-05
proof-toolbar-delete-enable-p                                   447         0.0029529999  6.606...e-06
proof-toolbar-undo-enable-p                                     447         0.0029139999  6.519...e-06
proof-toolbar-find-enable-p                                     447         0.0027339999  6.116...e-06
proof-toolbar-context-enable-p                                  447         0.0026389999  5.903...e-06
proof-toolbar-info-enable-p                                     447         0.0026119999  5.843...e-06
pg-processing-complete-hint                                     2           0.00235       0.001175
proof-shell-classify-output                                     210         0.0023079999  1.099...e-05
proof-locked-region-empty-p                                     451         0.0021040000  4.665...e-06
proof-shell-process-urgent-message                              3           0.001961      0.0006536666
proof-replace-regexp-in-string                                  210         0.0018659999  8.885...e-06
pg-add-element                                                  100         0.001693      1.693...e-05
proof-shell-message                                             2           0.00146       0.00073
proof-unprocessed-begin                                         1367        0.0013369999  9.780...e-07
proof-next-element-id                                           100         0.0012740000  1.274...e-05
pg-span-name                                                    304         0.0012510000  4.115...e-06
pg-add-to-input-history                                         104         0.0012130000  1.166...e-05
proof-shell-live-buffer                                         210         0.0011750000  5.595...e-06
proof-done-retracting                                           2           0.001148      0.000574
proof-script-delete-spans                                       2           0.0010550000  0.0005275000
proof-process-buffer                                            1           0.001009      0.001009
proof-assert-until-point-interactive                            1           0.000976      0.000976
proof-assert-until-point                                        1           0.000972      0.000972
proof-assert-semis                                              1           0.000825      0.000825
proof-append-alist                                              2           0.000691      0.0003455
proof-retract-buffer                                            1           0.000549      0.000549
proof-retract-until-point-interactive                           1           0.000532      0.000532
proof-retract-until-point                                       1           0.000528      0.000528
pg-remove-element                                               30          0.000473      1.576...e-05
proof-extend-queue                                              1           0.000463      0.000463
proof-retract-target                                            1           0.000451      0.000451
proof-element-id                                                100         0.0003829999  3.829...e-06
proof-semis-to-vanillas                                         1           0.000334      0.000334
proof-toolbar-goto-enable-p                                     447         0.0003170000  7.091...e-07
proof-toolbar-interrupt-enable-p                                447         0.0002790000  6.241...e-07
proof-next-element-count                                        100         0.0002759999  2.759...e-06
proof-start-queue                                               1           0.000241      0.000241
pg-response-display-with-face                                   4           0.000229      5.725e-05
proof-goto-end-of-locked                                        1           0.000182      0.000182
proof-debug                                                     100         0.0001309999  1.309...e-06
isar-find-and-forget                                            1           9.7e-05       9.7e-05
pg-remove-script-element                                        30          9.600...e-05  3.200...e-06
proof-segment-up-to-using-cache                                 1           9.5e-05       9.5e-05
pg-response-maybe-erase                                         4           8.999...e-05  2.249...e-05
proof-segment-cache-contents-for                                1           8.3e-05       8.3e-05
proof-last-goal-or-goalsave                                     1           8e-05         8e-05
pg-make-element-visible                                         30          7.600...e-05  2.533...e-06
pg-redisplay-for-gnuemacs                                       30          6.8e-05       2.266...e-06
proof-activate-scripting                                        2           4.3e-05       2.15e-05
proof-shell-ready-prover                                        4           4.2e-05       1.05e-05
proof-shell-handle-delayed-output                               2           3.999...e-05  1.999...e-05
proof-re-search-backward                                        1           3.6e-05       3.6e-05
proof-shell-start                                               4           2.8e-05       7e-06
proof-clean-buffer                                              1           2.6e-05       2.6e-05
pg-response-display                                             2           2.499...e-05  1.249...e-05
